lot_id@address@number_of_spots@facility_name@facility_type@weekday_allowed_time@saturday_allowed_time@sunday_allowed_time@rate_1hr@rate_2hr@rate_3hr@rate_allday@disabled_spot_count@latitude@longitude
159@1500 2ND AVE, SEATTLE, WA   98101@322@West Edge@GARAGE@6am - 11pm@8am - 2am@8am - 7pm@7.0@12.0@13.0@23.0@0@47.60967313900005@-122.33878871999997@
160@1224 MADISON ST, SEATTLE, WA   98104@12@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@47.61046903400006@-122.32347728599996@
161@2600 ELLIOTT AV, SEATTLE, WA   98121@592@@GARAGE@@@@-1.0@-1.0@-1.0@-1.0@16@47.614444923000065@-122.35167518499998@
162@2407 1ST AV, SEATTLE, WA   98121@63@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@47.61421511900005@-122.34854256099999@
163@2505 1ST AV, SEATTLE, WA   98121@66@@@@@@-1.0@-1.0@-1.0@-1.0@0@47.614676005000035@-122.34924941799994@
164@1217 6TH AV, SEATTLE, WA   98101@85@Plymouth Church@GARAGE@6:00am - 6:00pm@Closed@Closed@-1.0@-1.0@-1.0@-1.0@0@47.608665493000046@-122.33264517499998@
165@1013 8TH AV, SEATTLE, WA   98104@10@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@47.60800893500004@-122.32910042099996@
166@500 BROADWAY, SEATTLE, WA   98122@13@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@47.60638889200004@-122.32056922599998@
167@904 7TH AVE, SEATTLE, WA 98104@200@Madison Center@GARAGE@6:30am - 7:00pm@9:00am - 3:00pm@Closed@5.0@7.0@9.0@18.0@0@47.60707352000003@-122.32879736599995@
168@1005 E JEFFERSON ST, SEATTLE, WA   98122@20@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@47.60602453900003@-122.31900523699994@
169@751 MARION ST, SEATTLE, WA 98104@450@Madison Center@GARAGE@6:30am - 7:00pm@9:00am - 3:00pm@Closed@5.0@7.0@9.0@18.0@0@47.60673944600006@-122.32783422499995@
170@2330 WESTERN AV, SEATTLE, WA   98121@17@@@@@@-1.0@-1.0@-1.0@-1.0@0@47.61352014900007@-122.34825282199995@
171@910 8TH AV, SEATTLE, WA 98104@210@@GARAGE@@@@3.0@-1.0@-1.0@24.0@0@47.60753781500006@-122.32788618999996@
172@2708 ELLIOTT AV, SEATTLE, WA   98121@32@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@47.614976152000054@-122.35226649099997@
173@2801 ALASKAN WY, SEATTLE, WA   98121@112@@@@@@-1.0@-1.0@-1.0@-1.0@0@47.61472524000004@-122.355934978@
174@1124 COLUMBIA ST, SEATTLE, WA 98104@415@@GARAGE@@@@5.0@7.0@9.0@21.0@0@47.60862078100007@-122.32372459499999@
175@800 1ST AV, SEATTLE, WA   98104@289@@GARAGE@@@@8.0@11.0@14.0@24.0@0@47.60369642300003@-122.33446744499997@
176@1001 4TH AV, SEATTLE, WA   98154@584@@GARAGE@@@@-1.0@-1.0@-1.0@-1.0@0@47.606147220000025@-122.33387938799996@
177@2800 3RD AVE, SEATTLE, WA 98121@30@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@47.61805557800005@-122.34978250999995@
178@1111 3RD AVE, SEATTLE, WA 98101@366@@@24 Hours@24 Hours@24 Hours@-1.0@-1.0@-1.0@-1.0@0@47.60655392900003@-122.33533178899995@
179@2701 1ST AVE, SEATTLE, WA 98121@11@@GARAGE@@@@-1.0@-1.0@-1.0@-1.0@0@47.61580431200008@-122.35125769899997@
180@1334 ALASKAN WAY, SEATTLE, WA 98101@8@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@47.60703409000007@-122.34037631999996@
181@721 1ST AVE, SEATTLE, WA 98104@503@@GARAGE@6:00am - 9:00pm@10:00am - 2:30am@10:00am - 10:00pm@3.0@6.0@9.0@-1.0@7@47.60289565900007@-122.33519445699994@
182@3000 1ST AVE, SEATTLE, WA 98121@10@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@47.61795717800004@-122.35384246499996@
183@2810 3RD AV, SEATTLE, WA   98121@40@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@1@47.61805557800005@-122.34978250999995@
184@2929 2ND AV, SEATTLE, WA   98121@28@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@47.61792078600007@-122.35278682399996@
185@1108 WESTERN AV, SEATTLE, WA   98101@121@@GARAGE@6:30am - 8:00pm@10:00am - 8:00pm@11:00am - 6:00pm@3.0@6.0@9.0@30.0@0@47.605470309000054@-122.33806197599995@
186@1100 2ND AVE, SEATTLE, WA 98101@69@@@24 Hours@24 Hours@24 Hours@-1.0@-1.0@-1.0@-1.0@0@47.60641712000006@-122.33580711599996@
187@2301 5TH AV, SEATTLE, WA   98121@213@@GARAGE@@@@-1.0@-1.0@-1.0@-1.0@0@47.615975124000045@-122.34368693999994@
188@2001 8TH AVE, SEATTLE, WA 98121@444@West 8th Parking@GARAGE@6:00am - 7:00pm@Closed@Closed@3.65@13.4@15.85@30.5@0@47.61578322300005@-122.33725682399995@
189@2333 3RD AVE, SEATTLE, WA 98121@21@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@47.615127545000064@-122.34623738899995@
190@1000 NE 45TH ST, SEATTLE, WA   98105@41@45th and Roosevelt@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@47.66151266800006@-122.31710028799995@
191@700 NE 45TH ST, SEATTLE, WA   98105@22@Seattle Go Center@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@47.66157820700005@-122.32035636199998@
192@1819 NW MARKET ST, SEATTLE, WA   98107@7@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@47.66850107000005@-122.38126787699997@
193@4700 BROOKLYN AV NE, SEATTLE, WA   98105@10@U-District Chevron@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@1@47.66346131100005@-122.31386746899994@
194@4515 9TH AV NE, SEATTLE, WA   98105@42@9th and 45th@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@47.66175191100007@-122.31873513799997@
195@4732 BROOKLYN AV NE, SEATTLE, WA   98105@10@U-District Safeway@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@47.66429158100004@-122.31389365299998@
196@5511 22ND AV NW, SEATTLE, WA   98107@24@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@47.66928778000005@-122.38512423399999@
197@1919 N 45TH ST, SEATTLE, WA   98103@33@Wallingford Chase@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@47.66118108900008@-122.33404198599999@
198@620 N 34TH ST, SEATTLE, WA   98103@95@EPI Garage Building@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@47.64985114500007@-122.35045959699994@
199@936 N 34TH ST, SEATTLE, WA   98103@47@Freemont (U-Dist)@GARAGE, SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@47.64918393900007@-122.34551848299998@
200@2237 NW 57TH ST, SEATTLE, WA   98107@45@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@47.66999545900006@-122.38633898699999@
201@3020 NE 45TH ST, SEATTLE, WA   98105@15@U-Village Safeway@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@47.66204924200008@-122.29544779499997@
202@1300 NE 45TH ST, SEATTLE, WA 98105@51@U-District Key Bank@GARAGE@@@@-1.0@-1.0@-1.0@-1.0@0@47.66160065100007@-122.313927106@
203@4131 11TH AV NE, SEATTLE, WA   98105@18@College Place Apts@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@47.65769391600003@-122.31701686099996@
204@7104 WOODLAWN AVE NE, SEATTLE, WA 98115@216@Green Lake Village@GARAGE@@@@-1.0@-1.0@-1.0@-1.0@0@47.68008860800006@-122.32431767799994@
205@4725 UNIVERSITY WY NE, SEATTLE, WA   98105@63@@GARAGE@@@@-1.0@-1.0@-1.0@-1.0@0@47.66382486200007@-122.31344706399994@
206@219 E GALER ST, SEATTLE, WA 98102@134@E Galer@SURFACE LOT@@@@3.0@3.0@8.0@-1.0@0@47.63206806300008@-122.32534641399997@
207@1101 NE BOAT ST, SEATTLE, WA 98105@28@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@47.65245646000005@-122.31695931999997@
208@1200 NE BOAT ST, SEATTLE, WA 98115@86@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@47.65251912700006@-122.31559596099999@
209@6860 E GREEN LAKE WY N, SEATTLE, WA   98115@18@SPUDS@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@47.678313123000066@-122.32698928999997@
210@1401 NE BOAT ST, SEATTLE, WA 98105@310@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@47.65014690300006@-122.31280755599994@
211@1111 FAIRVIEW AV N, SEATTLE, WA   98109@66@@@@@@-1.0@-1.0@-1.0@-1.0@0@47.62984658000005@-122.33039852999997@
212@1600 W ARMORY WY, SEATTLE, WA   98119@150@@@@@@-1.0@-1.0@-1.0@-1.0@0@47.63848892500005@-122.37694595999994@
213@1110 ELLIOTT AV W, SEATTLE, WA   98119@13@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@47.62913733000005@-122.37101825799999@
214@3272 FUHRMAN AV E, SEATTLE, WA   98102@15@@@@@@-1.0@-1.0@-1.0@-1.0@0@47.65141132100007@-122.32081441099996@
215@3400 STONE WAY N, SEATTLE, WA 98103@218@Stone Way Lot@GARAGE@@@@4.0@7.0@11.0@15.0@0@47.64867587700007@-122.34254078499998@
216@1600 QUEEN ANNE AV N, SEATTLE, WA   98109@13@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@47.633832348000055@-122.35680062099999@
217@2402 QUEEN ANNE AV N, SEATTLE, WA   98109@95@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@47.63980744000003@-122.35665127599998@
218@6300 9TH AV NE, SEATTLE, WA   98115@55@Seattle Healing Arts@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@47.67436542200005@-122.31809701099996@
219@4730 21ST AVE NE, SEATTLE, WA 98105@11@Ivy Ridge@SURFACE LOT@@@@3.0@3.0@5.0@10.0@0@47.66377247500003@-122.30487904699999@
220@4550 9TH AV NE, SEATTLE, WA   98105@31@Sundance@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@47.66255068100003@-122.31814476299996@
221@@30@OLIVETTI #41181@GARAGE@Self park location@Self park location@Self park location@7.0@10.0@10.0@10.0@0@47.61450207200005@-122.32867742299999@
222@4259 ROOSEVELT WY NE, SEATTLE, WA 98015@15@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@47.659170009000036@-122.31805042799999@
223@400 ROY ST, SEATTLE, WA   98109@27@Queen Anne Lot #108@SURFACE LOT@Self park location@Self park location@Self park location@5.0@5.0@-1.0@10.0@0@47.62560217200007@-122.34865199399997@
224@216 QUEEN ANNE AV N, SEATTLE, WA   98109@15@Seattle Center Lot #96@SURFACE LOT@Self park location@Self park location@Self park location@-1.0@-1.0@-1.0@-1.0@0@47.620439170000054@-122.35650148699995@
225@551 DENNY WY, SEATTLE, WA   98109@33@Seattle Center Lot #90@SURFACE LOT@Self park location@Self park location@Self park location@7.0@7.0@-1.0@-1.0@0@47.61837504700003@-122.34600443099998@
226@200 1ST AV W, SEATTLE, WA   98119@89@Queen Anne Lot 61@GARAGE@Self park location@Self park location@Self park location@-1.0@-1.0@-1.0@-1.0@0@47.62013524500003@-122.35768006399996@
227@125 16TH AVE E, SEATTLE, WA 98112@880@Group Health Capitol Hill@GARAGE@6:00am - 9:00pm@Closed@Closed@-1.0@-1.0@-1.0@-1.0@0@47.61900617400005@-122.31182017299994@
228@4228 ROOSEVELT WY NE, SEATTLE, WA   98105@295@U District Lot #11@SURFACE LOT@@@@5.0@5.0@-1.0@10.0@0@47.65917093000007@-122.31749618099997@
229@2120 1ST AV, SEATTLE, WA   98101@56@Belltown Lot #45@SURFACE LOT@@@@12.0@12.0@20.0@25.0@0@47.612498498000036@-122.34436677999997@
230@900 N 34TH ST, SEATTLE, WA   98103@27@Freemont Lot 17@SURFACE LOT@@@@5.0@5.0@-1.0@10.0@0@47.64942465100006@-122.34681741699995@
231@910 N NORTHLAKE WY, SEATTLE, WA   98103@85@Freemont Lot #66@SURFACE LOT@6:00am - 6:00pm@@@7.0@7.0@-1.0@20.0@0@47.64887811300008@-122.34650879099996@
232@720 N 35TH ST, SEATTLE, WA   98103@25@Freemont Lot #35@SURFACE LOT@6:00am - 6:00pm@@@7.0@7.0@-1.0@10.0@0@47.650666158000035@-122.34870434499999@
233@2015 4TH AV, SEATTLE, WA   98121@26@U-Park #41@SURFACE LOT@@@@12.0@12.0@15.0@20.0@0@47.61320909500006@-122.34082883499997@
234@1916 BOREN AV, SEATTLE, WA   98101@49@Denny Triangle Lot #115@SURFACE LOT@@@@7.0@7.0@-1.0@15.0@0@47.617354222000074@-122.33311063499997@
235@1201 MADISON ST, SEATTLE, WA   98104@35@Capitol Hill Lot #106@SURFACE LOT@Self park location@Self park location@Self park location@-1.0@-1.0@-1.0@5.0@0@47.60971810600006@-122.32352439499999@
236@2224 WESTERN AV, SEATTLE, WA   98121@88@Belltown Lot #40@SURFACE LOT@@@@12.0@12.0@18.0@20.0@2@47.61267568000005@-122.34675001699998@
237@114 1ST AV N, SEATTLE, WA   98109@74@Seattle Center Lot #48@SURFACE LOT@6am-6pm@Self park location@Self park location@7.0@7.0@-1.0@12.0@0@47.60113824200005@-122.33379911799994@
238@1110 BOYLSTON AV, SEATTLE, WA   98101@170@Polyclinic #93@SURFACE LOT@Self park location@Self park location@Self park location@-1.0@-1.0@-1.0@-1.0@0@47.611805666000066@-122.32235782199996@
239@1000 N NORTHLAKE WY, SEATTLE, WA   98103@25@Freemont Lot #55@SURFACE LOT@6:00am - 6:00pm@@@7.0@7.0@-1.0@10.0@0@47.64866167300005@-122.34509323999998@
240@1140 BOYLSTON AV, SEATTLE, WA   98122@26@Capitol Hill Lot #91@SURFACE LOT@@@@7.0@7.0@10.0@12.0@0@47.61216534700003@-122.32262133999996@
241@1110 BOYLSTON AV, SEATTLE, WA   98101@98@Seattle First Baptist Church Lot #94@SURFACE LOT@@@@-1.0@-1.0@-1.0@15.0@0@47.611805666000066@-122.32235782199996@
242@313 MAYNARD AV S, SEATTLE, WA   98104@47@Interational District Lot #79@SURFACE LOT@6am-6pm@Self park location@Self park location@7.0@7.0@-1.0@12.0@0@47.59970387100003@-122.32543033799999@
243@601 N 34TH ST, SEATTLE, WA   98103@56@Freemont Lot #52@SURFACE LOT@@@@3.0@3.0@-1.0@10.0@11@47.649422059000074@-122.35024113899999@
244@100 W ROY ST, SEATTLE, WA   98109@50@On The Boards@SURFACE LOT@@@@7.0@7.0@-1.0@12.0@1@47.62590719200006@-122.35843433599996@
245@2000 3RD AV, SEATTLE, WA   98121@26@Belltown Lot #42@SURFACE LOT@@@@12.0@12.0@15.0@20.0@1@47.61273671600003@-122.34079340099998@
246@166 N 35TH ST, SEATTLE, WA   98103@22@Freemont Lot #35@SURFACE LOT@@@@7.0@7.0@-1.0@10.0@0@47.65178367300007@-122.35489317399998@
247@2335 4TH AV, SEATTLE, WA   98121@30@Downtown lot #97@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@47.61581653400003@-122.34531106499998@
248@501 N 34TH ST, SEATTLE, WA   98103@60@Freemont Lot #62@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@47.649634106000065@-122.35158216899998@
249@2238 EASTLAKE AV E, SEATTLE, WA   98102@20@Eastlake Lot #23@SURFACE LOT@6:00am - 6:00pm@@@5.0@5.0@-1.0@7.0@0@47.63923819000007@-122.32548455299997@
250@110 1ST AV W, SEATTLE, WA   98119@36@Queen Anne Lot #36@SURFACE LOT@6am-6pm@Self park location@Self park location@7.0@7.0@-1.0@10.0@0@47.61909784000005@-122.35767056799995@
251@301 8TH AV N, SEATTLE, WA   98109@68@KC Library N. - 8th & Harrison@SURFACE LOT@24 Hours@24 Hours@24 Hours@-1.0@-1.0@-1.0@-1.0@0@47.62107620100005@-122.34144279499998@
252@202 WESTLAKE AVE N, SEATTLE, WA 98109@218@202 Westlake@GARAGE@24 Hours@24 Hours@24 Hours@3.66@4.88@7.32@25.62@0@47.62003868000005@-122.33807336699999@
253@120 WESTLAKE AVE N, SEATTLE, WA 98109@261@Rollin Street Flats@SURFACE LOT@24 Hours@24 Hours@24 Hours@1.0@6.0@-1.0@22.0@0@47.61920815500008@-122.33806892299998@
254@@371@AMAZON PHASE 3 #81876@GARAGE@Self park location@Self park location@Self park location@99999.0@99999.0@99999.0@99999.0@0@47.62405688600006@-122.33556560199997@
255@@21@Foley - Green  #82018@SURFACE LOT@Self park location@Self park location@Self park location@99999.0@99999.0@99999.0@99999.0@0@47.624977820000026@-122.33882541199995@
256@500 BOREN AV N, SEATTLE, WA   98109@259@@GARAGE@Self park location@Self park location@Self park location@99999.0@99999.0@-1.0@99999.0@0@47.62383388400008@-122.33560334199996@
257@301 NE 100TH ST, SEATTLE, WA   98125@885@Thornton Place@SURFACE LOT@Self park location@Self park location@Self park location@-1.0@-1.0@-1.0@-1.0@0@47.70107672600005@-122.32500065399995@
258@1010 MARION ST, SEATTLE, WA   98104@218@Cabrini Tower Garage@GARAGE@7am-8:45pm@8am-4:30pm@closed@4.0@5.0@-1.0@20.0@0@47.60866022000005@-122.324864048@
259@1200 5TH AV, SEATTLE, WA   98101@158@IBM Garage@GARAGE@7am-1am@10am-1am@2pm-10:30pm@9.0@12.0@-1.0@35.0@0@47.60842002500004@-122.33305269399995@
260@221 YALE AV N, SEATTLE, WA   98109@368@Alley 24@GARAGE@24 Hours@24 Hours@24 Hours@-1.0@-1.0@-1.0@-1.0@0@47.620294899000044@-122.33078170099998@
261@2030 9TH AV, SEATTLE, WA   98121@36@Steve Johnson Lot@SURFACE LOT@Self park location@Self park location@Self park location@3.0@3.0@-1.0@15.0@0@47.617177034000065@-122.33654449899996@
262@1401 2ND AV, SEATTLE, WA   98101@241@Pike Plaza Newmark Garage@SURFACE LOT@6am-7am@9am-7pm@10am-6pm@-1.0@-1.0@-1.0@-1.0@3@47.608702023000035@-122.33884075899999@
263@2024 4TH AV, SEATTLE, WA   98121@204@Warwick Hotel Garage@GARAGE@5:00am - 11:00pm@6:00am - 11:00pm@6:00am - 11:00pm@-1.0@-1.0@-1.0@-1.0@0@47.61336930700003@-122.33994738599995@
264@2801 ALASKAN WY, SEATTLE, WA   98121@112@Pier 70 Garage@GARAGE@7:00am - 7:00pm@7:00am - 7:00pm@7:00am - 7:00pm@-1.0@-1.0@-1.0@-1.0@0@47.61472853500004@-122.35568866499995@
265@723 4TH AV, SEATTLE, WA   98104@240@4th and Columbia #4558@GARAGE@6am-7pm@CLOSED@CLOSED@18.0@24.0@-1.0@36.0@1@47.60443169200005@-122.33186517399997@
266@2103 WESTERN AV, SEATTLE, WA   98121@45@Pike Place Market Garage@SURFACE LOT@8:30am-7pm@8:30am-7pm@8:30am-7pm@-1.0@-1.0@-1.0@18.0@0@47.611132446000056@-122.34556012899998@
267@400 4TH AV, SEATTLE, WA   98104@41@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@2@47.60211408600003@-122.32876626799998@
268@213 CHERRY ST, SEATTLE, WA   98104@225@Cherry Street Garage #4590@GARAGE@6am-7pm@CLOSED@CLOSED@11.95@15.53@-1.0@20.32@0@47.60310820700005@-122.33225194999994@
269@110 YALE AV N, SEATTLE, WA   98109@19@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@47.61932810300004@-122.33007094499999@
270@2506 1ST AV, SEATTLE, WA   98101@12@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@47.614964557000064@-122.34875256699996@
271@127 BOYLSTON AV E, SEATTLE, WA   98102@29@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@47.61935653900008@-122.32381459799996@
272@724 PINE ST, SEATTLE, WA   98101@46@Grand Hyatt Hotel@GARAGE@@@@-1.0@-1.0@-1.0@-1.0@0@47.61316535200007@-122.33392746399994@
273@701 4TH AV, SEATTLE, WA   98104@105@@GARAGE@@@@-1.0@-1.0@-1.0@-1.0@3@47.60400522800006@-122.33149215499998@
274@1221 1ST AV, SEATTLE, WA   98101@635@Harbor Steps Garage@GARAGE@6am-11pm@6am-11pm@6am-11pm@-1.0@-1.0@-1.0@-1.0@0@47.60635476300007@-122.33816774999997@
275@2801 WESTERN AVE, SEATTLE, WA 98121@327@@GARAGE@@@@-1.0@-1.0@-1.0@-1.0@0@47.615657492000025@-122.35335081899996@
276@1413 HARVARD AV, SEATTLE, WA   98122@111@Capitol Hill Lot #8@SURFACE LOT@@@@7.0@7.0@-1.0@12.0@0@47.613437211000075@-122.32248552499999@
277@710 4TH AV N, SEATTLE, WA   98109@47@Seattle Center Lot #28@SURFACE LOT@@@@7.0@7.0@-1.0@10.0@0@47.62588792400004@-122.34850396999997@
278@@30@Analytical Resources #81879@SURFACE LOT@Self park location@Self park location@Self park location@99999.0@99999.0@99999.0@99999.0@0@47.621384662000025@-122.34012774499996@
279@@104@9th & Republican #81074@SURFACE LOT@Self park location@Self park location@Self park location@4.9@14.65@14.65@14.65@0@47.62287193900005@-122.33939753899995@
280@300 WESTLAKE AV N, SEATTLE, WA   98109@24@Trick & Murray@SURFACE LOT@24 Hours@24 Hours@24 Hours@-1.0@-1.0@-1.0@-1.0@0@47.62131108800003@-122.33813687999998@
281@4225 ROOSEVELT WY NE, SEATTLE, WA   98105@181@Roosevelt Way Garage #81124@GARAGE@6:30am - 7:00pm@Closed@Closed@5.0@9.0@-1.0@12.0@0@47.65821155100008@-122.31831019699996@
282@4245 ROOSEVELT WY NE, SEATTLE, WA   98105@205@Roosevelt Way Garage #81125@GARAGE@6:00am - 7:30pm@Closed@Closed@6.0@7.0@-1.0@12.0@0@47.65884160400003@-122.31830079899999@
283@206 MINOR AV N, SEATTLE, WA   98109@47@Times Lot #15@SURFACE LOT@Self park location@Self park location@Self park location@3.0@3.0@-1.0@10.0@0@47.619971795000026@-122.33259348099995@
284@601 UNION ST, SEATTLE, WA   98101@1031@Union Square Garage@GARAGE@6:00am - 12:00am@8:00am - 1:00am@10:00am - 12:00am@-1.0@15.0@19.0@35.0@0@47.61042518800008@-122.33206231199995@
285@721 PINE ST, SEATTLE, WA   98101@800@7th & Pike/Hyatt Garage@GARAGE@24 hours@24 hours@24 hours@-1.0@10.0@12.0@30.0@0@47.61275353100007@-122.33329791099999@
286@525 S JACKSON ST, SEATTLE, WA 98104@34@Bank of America Intl  Banking #81963@SURFACE LOT@Self park location@Self park location@Self park location@99999.0@99999.0@99999.0@99999.0@0@47.59897583000003@-122.32674355999995@
287@@77@Cinerama #81097@SURFACE LOT@Self park location@Self park location@Self park location@4.9@9.8@12.2@14.65@0@47.613995989000045@-122.34013531099998@
288@670 TERRY AV N, SEATTLE, WA 98109@166@Conoco Phillips Parking@SURFACE LOT@24 Hours@24 Hours@24 Hours@9.76@9.76@-1.0@21.96@0@47.625267105000034@-122.33742010799995@
289@@784@AMAZON PHASE 4 #81877@GARAGE@Self park location@Self park location@Self park location@99999.0@99999.0@99999.0@99999.0@0@47.62178438800004@-122.33618047899995@
290@2200 WESTLAKE AV, SEATTLE, WA   98121@414@Westlake Garage@GARAGE@6:30am - 11:00pm@6:30am - 1:00am@7:30am - 11:00pm@7.5@11.0@15.5@43.0@0@47.61782592000003@-122.33728509899998@
291@200 9TH AV N, SEATTLE, WA   98109@42@220 9th Avenue N. Lot - 9th & John Lot@SURFACE LOT@24 Hours@24 Hours@24 Hours@9.76@9.76@-1.0@24.4@0@47.620021319000045@-122.33939105599995@
292@1255 HARRISON ST, SEATTLE, WA   98109@70@Pemco Lot@SURFACE LOT@6:30am - 9:30pm@7:00am - 8:00pm@7:00am - 8:00pm@5.0@5.0@-1.0@16.0@0@47.62148847900005@-122.33119091599997@
293@714 DENNY WY, SEATTLE, WA   98109@100@Murata Lot@SURFACE LOT@24 Hours@24 Hours@24 Hours@1.2@2.45@3.65@-1.0@0@47.61873249100006@-122.34294598399998@
294@101 WESTLAKE AV N, SEATTLE, WA   98109@26@Discovery Center Lot@SURFACE LOT@24 Hours@24 Hours@24 Hours@3.0@3.0@5.0@-1.0@0@47.618871676000026@-122.33884105899995@
295@1191 2ND AV, SEATTLE, WA   98101@392@Second & Seneca Garage@GARAGE@7am - 9pm@CLOSED@CLOSED@10.0@19.0@-1.0@33.0@0@47.60613728200008@-122.336738836@
296@1601 5TH AVE, SEATTLE, WA 98101@256@Westlate Tower@GARAGE@@@@9.0@14.0@16.0@30.0@0@47.61192415100004@-122.33717163999995@
297@2815 2ND AV, SEATTLE, WA   98121@163@Bay Vista Garage@GARAGE@6:30am - 6:00pm@CLOSED@CLOSED@3.0@6.0@-1.0@12.0@3@47.61706439400007@-122.35140904199994@
298@1301 2ND AV, SEATTLE, WA   98101@698@WAMU Center@GARAGE@5:30am-10am@9am-12am@10am-10pm@7.0@12.0@-1.0@24.0@25@47.607401442000025@-122.33776819099995@
299@2801 WESTERN AV, SEATTLE, WA   98121@122@@GARAGE@@@@4.0@4.0@-1.0@12.0@1@47.615657492000025@-122.35335081899996@
300@1524 2ND AV, SEATTLE, WA   98101@28@@SURFACE LOT@6pm - 6am@24 hours@24 hours@6.0@6.0@-1.0@12.0@0@47.63312787800004@-122.35942972599997@
301@211 LENORA, SEATTLE, WA 98121@102@211 Lenora@GARAGE@Self park location@Self park location@Self park location@-1.0@-1.0@-1.0@-1.0@0@47.61245502100007@-122.34237774199994@
302@525 DEXTER AV N, SEATTLE, WA   98109@16@Bozotronics Lot@SURFACE LOT@24 Hours@24 Hours@24 Hours@99999.0@99999.0@99999.0@99999.0@0@47.62389247700003@-122.34284704499998@
303@320 WESTLAKE AV N, SEATTLE, WA   98109@452@Westlake &Terry@SURFACE LOT@24 Hours@24 Hours@24 Hours@4.88@6.1@-1.0@-1.0@0@47.62131108800003@-122.33813687999998@
304@@94@MERCER & WESTLAKE #81386@SURFACE LOT@Self park location@Self park location@Self park location@4.9@14.65@14.65@14.65@0@47.62394788600005@-122.33936886999999@
305@2201 9TH AV, SEATTLE, WA   98121@327@2201 Westlake Parking@GARAGE@6:20am - 10:00pm@10:00am - 10:00pm@11:00am - 8:00pm@7.32@7.32@10.98@42.7@0@47.618105135000064@-122.33908359699996@
306@@409@AMAZON PHASE 1A #81865@GARAGE@Self park location@Self park location@Self park location@99999.0@99999.0@99999.0@99999.0@0@47.62230946500006@-122.33685886599994@
307@301 8TH AV N, SEATTLE, WA   98109@18@KC Library S. - 8th & Thomas@SURFACE LOT@24 Hours@24 Hours@24 Hours@6.0@6.0@-1.0@15.0@0@47.62103120200004@-122.34128201099998@
308@1300 MADISON ST, SEATTLE, WA   98104@44@First Hill Plaza@SURFACE LOT@24 Hours@24 Hours@24 Hours@7.0@10.0@-1.0@12.0@0@47.61074135500007@-122.32258763399994@
309@520 PIKE ST, SEATTLE, WA   98101@260@520 Pike Garage@GARAGE@6:00am-8:00pm@6:00am-8:00pm@6:00am-8:00pm@8.0@11.0@14.0@30.0@0@47.61125279500004@-122.334935729@
310@415 6TH AV, SEATTLE, WA   98104@824@Goat Hill Garage(#81250)@GARAGE@5:30am-9:30pm@CLOSED@CLOSED@12.0@16.0@18.0@-1.0@0@47.60330383300004@-122.32748477599995@
