,Device,Time,Longitude,Latitude
36208,335,2014-02-01 06:01:09.070191,41.86009905,12.47569083
36209,335,2014-02-01 06:01:09.072124,41.86009905,12.47569083
36229,335,2014-02-01 06:01:16.798626,41.86089864,12.47650632
36268,335,2014-02-01 06:01:32.204860,41.86247043,12.47799789
36304,335,2014-02-01 06:01:46.825614,41.86262831,12.47821022
36345,335,2014-02-01 06:02:03.011330,41.86395843,12.4787766
36384,335,2014-02-01 06:02:16.802825,41.86587406,12.47907957
36423,335,2014-02-01 06:02:32.252042,41.86729306,12.47932971
36460,335,2014-02-01 06:02:46.815352,41.86826648,12.47947315
36501,335,2014-02-01 06:03:02.004879,41.86992925,12.47973174
36539,335,2014-02-01 06:03:16.820734,41.8703568,12.47983884
36570,335,2014-02-01 06:03:27.209774,41.8703568,12.47983884
36580,335,2014-02-01 06:03:31.788929,41.87035771,12.47984456
36619,335,2014-02-01 06:03:46.816069,41.87054693,12.47990127
36658,335,2014-02-01 06:04:02.018613,41.87145181,12.48015206
36698,335,2014-02-01 06:04:17.154470,41.87185994,12.48016941
36739,335,2014-02-01 06:04:32.096122,41.87185651,12.4801389
36784,335,2014-02-01 06:04:48.295891,41.87185876,12.48013548
36823,335,2014-02-01 06:05:01.835863,41.87216609,12.48089986
36861,335,2014-02-01 06:05:16.785568,41.87176371,12.48349388
36907,335,2014-02-01 06:05:31.755734,41.87074471,12.48461499
36948,335,2014-02-01 06:05:46.785480,41.8681324,12.48438055
36989,335,2014-02-01 06:06:01.755616,41.86711757,12.48477481
37030,335,2014-02-01 06:06:16.835065,41.86711685,12.4866042
37072,335,2014-02-01 06:06:31.834783,41.86710893,12.48859567
37113,335,2014-02-01 06:06:46.739408,41.8671339,12.49081531
37153,335,2014-02-01 06:07:01.825554,41.86708438,12.49390624
37194,335,2014-02-01 06:07:16.794991,41.86694953,12.49630726
37236,335,2014-02-01 06:07:31.785288,41.86452659,12.49702282
37280,335,2014-02-01 06:07:46.853501,41.86385261,12.49718731
37321,335,2014-02-01 06:08:02.558223,41.86383748,12.49719606
37361,335,2014-02-01 06:08:16.826999,41.86383684,12.49719624
37403,335,2014-02-01 06:08:32.226407,41.86326226,12.49735953
37444,335,2014-02-01 06:08:46.855758,41.8610496,12.49803897
37484,335,2014-02-01 06:09:01.817058,41.85899592,12.49669449
37524,335,2014-02-01 06:09:16.817227,41.85685355,12.49375198
37569,335,2014-02-01 06:09:31.780411,41.85454191,12.49052981
37611,335,2014-02-01 06:09:46.745901,41.85279919,12.4880603
37649,335,2014-02-01 06:10:01.745870,41.85277266,12.4880065
37697,335,2014-02-01 06:10:18.750391,41.85277221,12.48800521
37736,335,2014-02-01 06:10:32.415056,41.85277073,12.488003
37777,335,2014-02-01 06:10:47.103938,41.8519882,12.48686373
37819,335,2014-02-01 06:11:02.194260,41.85033657,12.48467653
37859,335,2014-02-01 06:11:16.818047,41.85024173,12.48443868
37899,335,2014-02-01 06:11:31.824729,41.85023867,12.48440295
37942,335,2014-02-01 06:11:47.280626,41.85025843,12.48439737
37984,335,2014-02-01 06:12:02.970130,41.8502532,12.48440727
38019,335,2014-02-01 06:12:13.070045,41.8703568,12.47983884
38024,335,2014-02-01 06:12:16.778628,41.84952395,12.48517271
38066,335,2014-02-01 06:12:31.825903,41.84835174,12.4866552
38108,335,2014-02-01 06:12:47.042070,41.84847779,12.48703749
38148,335,2014-02-01 06:13:02.000557,41.84848266,12.48704728
38190,335,2014-02-01 06:13:16.780191,41.84923044,12.48803239
38236,335,2014-02-01 06:13:34.174074,41.85034623,12.48959485
38274,335,2014-02-01 06:13:46.982391,41.85114046,12.48982875
38315,335,2014-02-01 06:14:02.323306,41.85224745,12.48848202
38359,335,2014-02-01 06:14:16.778473,41.85227264,12.4884921
38401,335,2014-02-01 06:14:32.217481,41.85229599,12.48844938
38442,335,2014-02-01 06:14:47.155616,41.85301871,12.48897036
38483,335,2014-02-01 06:15:02.095850,41.85424532,12.49067709
38525,335,2014-02-01 06:15:17.011981,41.85422614,12.4906783
38565,335,2014-02-01 06:15:32.272130,41.85422882,12.4906797
38604,335,2014-02-01 06:15:47.069209,41.85422914,12.49068919
38645,335,2014-02-01 06:16:01.971735,41.85522747,12.49208742
38685,335,2014-02-01 06:16:17.278391,41.8568092,12.49430545
