,Device,Time,Longitude,Latitude
27494,61,2014-02-01 19:29:21.729087,41.8906,12.4937
27495,61,2014-02-01 19:29:36.367585,41.8894,12.4935
27496,61,2014-02-01 19:29:52.385577,41.8894,12.4935
27497,61,2014-02-01 19:30:06.059560,41.8894,12.4935
27498,61,2014-02-01 19:30:21.319349,41.8894,12.4935
27499,61,2014-02-01 19:30:36.362375,41.8893,12.4928
27500,61,2014-02-01 19:30:51.058473,41.888999999999996,12.4908
27501,61,2014-02-01 19:31:10.993448,41.8878,12.49
27502,61,2014-02-01 19:31:21.081043,41.8862,12.4895
27503,61,2014-02-01 19:31:36.154571,41.8852,12.4891
27504,61,2014-02-01 19:31:51.474995,41.8854,12.4881
27505,61,2014-02-01 19:32:06.373531,41.8863,12.4865
27506,61,2014-02-01 19:32:21.415700,41.887,12.4853
27507,61,2014-02-01 19:32:36.144256,41.8874,12.4846
27508,61,2014-02-01 19:32:51.656232,41.8876,12.4842
27509,61,2014-02-01 19:33:06.434280,41.8878,12.4838
27510,61,2014-02-01 19:33:21.106920,41.8883,12.4832
27511,61,2014-02-01 19:33:41.783604,41.888999999999996,12.4819
27512,61,2014-02-01 19:33:54.745185,41.8899,12.481
27513,61,2014-02-01 23:49:57.550692,41.8901,12.4808
27514,61,2014-02-01 23:50:12.416904,41.8889,12.4814
27515,61,2014-02-01 23:50:29.086789,41.8885,12.4814
27516,61,2014-02-01 23:50:42.886084,41.8885,12.4814
27517,61,2014-02-01 23:50:56.994501,41.8885,12.4814
27518,61,2014-02-01 23:51:14.794890,41.8876,12.4814
27519,61,2014-02-01 23:51:27.380654,41.8869,12.4825
27520,61,2014-02-01 23:51:42.242264,41.8862,12.4835
27521,61,2014-02-01 23:51:57.608764,41.8854,12.4845
27522,61,2014-02-01 23:52:12.031401,41.8839,12.4851
27523,61,2014-02-01 23:52:27.301275,41.8835,12.4851
27524,61,2014-02-01 23:52:42.109886,41.8823,12.4839
27525,61,2014-02-01 23:52:57.257724,41.8807,12.4839
