,Device,Time,Longitude,Latitude
26,259,2014-02-01 00:00:09.648023,41.8892539694315,12.4956372272229
68,259,2014-02-01 00:00:24.639717,41.8892539694315,12.4956372272229
106,259,2014-02-01 00:00:39.633022,41.8891557220378,12.496269645986
148,259,2014-02-01 00:00:55.770120,41.8887017871832,12.49655241239
185,259,2014-02-01 00:01:09.979970,41.8882209238426,12.4963954180279
222,259,2014-02-01 00:01:24.648528,41.887769945178,12.4962394173678
261,259,2014-02-01 00:01:39.312101,41.8876673953693,12.4952027341346
308,259,2014-02-01 00:01:54.353677,41.8884873271566,12.4950500970187
343,259,2014-02-01 00:02:09.336548,41.8896738393723,12.4954758501913
386,259,2014-02-01 00:02:24.676994,41.8894046147656,12.4967108455266
426,259,2014-02-01 00:02:39.315390,41.8890903017165,12.4981719075193
466,259,2014-02-01 00:02:54.350020,41.8895813007902,12.4984161591421
510,259,2014-02-01 00:03:09.634087,41.8895813007902,12.4984161591421
550,259,2014-02-01 00:03:24.645853,41.8898796301134,12.498497047072
588,259,2014-02-01 00:03:39.697357,41.8875787840802,12.4958242909308
589,259,2014-02-01 00:03:39.709176,41.8894133172014,12.5003112379548
629,259,2014-02-01 00:03:54.342698,41.8892729069807,12.5009836878305
674,259,2014-02-01 00:04:09.326928,41.8892729069807,12.5009836878305
715,259,2014-02-01 00:04:24.654266,41.8892729069807,12.5009836878305
755,259,2014-02-01 00:04:39.310743,41.8893202457262,12.5010238720621
792,259,2014-02-01 00:04:54.349715,41.8901874432142,12.5001073609944
834,259,2014-02-01 00:05:09.310950,41.8907984287074,12.4987405940044
875,259,2014-02-01 00:05:24.646164,41.8909211763963,12.4998815495229
914,259,2014-02-01 00:05:39.311646,41.8918538429689,12.5007624206315
956,259,2014-02-01 00:05:54.336754,41.8926236677109,12.5015112106244
994,259,2014-02-01 00:06:09.340768,41.8939306998805,12.5007432697602
1041,259,2014-02-01 00:06:24.914987,41.8947982899745,12.5003016200592
1076,259,2014-02-01 00:06:39.313135,41.8947982899745,12.5003016200592
1123,259,2014-02-01 00:06:56.025467,41.8947982899745,12.5003016200592
1157,259,2014-02-01 00:07:09.359517,41.895048701494,12.5002506535703
1202,259,2014-02-01 00:07:24.637208,41.8966427949257,12.4993708983722
1244,259,2014-02-01 00:07:41.912393,41.8979280160434,12.4990523992466
1263,259,2014-02-01 00:07:50.616445,41.8875787840802,12.4958242909308
1281,259,2014-02-01 00:07:54.398130,41.8985993401812,12.4976332046131
1319,259,2014-02-01 00:08:09.343474,41.8986260362857,12.4975727196886
1363,259,2014-02-01 00:08:26.657514,41.8987118028754,12.4961875584164
1395,259,2014-02-01 00:08:39.323199,41.897582480302,12.4951634813547
1441,259,2014-02-01 00:08:56.140840,41.8971124923579,12.4945875804212
1476,259,2014-02-01 00:09:09.361741,41.896765105367,12.492886543155
1521,259,2014-02-01 00:09:24.978608,41.8979210943319,12.4914091219252
1554,259,2014-02-01 00:09:39.324819,41.8985132497998,12.4913781333985
1603,259,2014-02-01 00:09:57.329107,41.8987698689798,12.4918743448998
1643,259,2014-02-01 00:10:09.655100,41.8987698689798,12.4918743448998
1674,259,2014-02-01 00:10:24.637749,41.8987698689798,12.4918743448998
1712,259,2014-02-01 00:10:39.314632,41.8987698689798,12.4918743448998
1748,259,2014-02-01 00:10:54.656886,41.8987698689798,12.4918743448998
1787,259,2014-02-01 00:11:09.672839,41.8988359114419,12.4919934214556
1826,259,2014-02-01 00:11:24.346501,41.8993813324169,12.4930908588901
1862,259,2014-02-01 00:11:39.350171,41.8999888811137,12.4941769823632
1903,259,2014-02-01 00:11:55.658694,41.8999933791498,12.495403160232
1938,259,2014-02-01 00:12:09.349585,41.9008147717812,12.4967280016665
1975,259,2014-02-01 00:12:24.649975,41.9003329081532,12.4977726749814
2012,259,2014-02-01 00:12:39.438310,41.9007885625699,12.498409063711
2053,259,2014-02-01 00:12:54.338456,41.9015097851371,12.497705366972
2087,259,2014-02-01 00:13:09.347704,41.9020193544533,12.498588045761
2126,259,2014-02-01 00:13:24.346383,41.9027635426468,12.5000724004836
2165,259,2014-02-01 00:13:39.883865,41.9030973375714,12.5013720763434
2204,259,2014-02-01 00:13:56.042485,41.9021536530854,12.5025244165938
2241,259,2014-02-01 00:14:09.349775,41.9013589189532,12.5038397758918
2274,259,2014-02-01 00:14:24.747957,41.9004319285874,12.5053863149794
2315,259,2014-02-01 00:14:39.958393,41.899414617756,12.5069725782016
2349,259,2014-02-01 00:14:54.658081,41.8990977321761,12.5069220301069
2383,259,2014-02-01 00:15:09.352763,41.8977464427383,12.5050459498752
2422,259,2014-02-01 00:15:24.636205,41.8984552161252,12.5037244704305
2461,259,2014-02-01 00:15:39.333484,41.8995464361504,12.5020406275567
2503,259,2014-02-01 00:15:57.357793,41.9004260356203,12.5005818087638
2533,259,2014-02-01 00:16:09.347700,41.9006773886534,12.5001742847433
2570,259,2014-02-01 00:16:24.646836,41.9006773886534,12.5001742847433
2602,259,2014-02-01 00:16:39.498927,41.9008392632331,12.4999162094132
2637,259,2014-02-01 00:16:54.649107,41.9016522676953,12.4988282854514
2677,259,2014-02-01 00:17:09.654052,41.9018390620881,12.4986740080886
2720,259,2014-02-01 00:17:24.922046,41.9022385382533,12.4981236252652
2752,259,2014-02-01 00:17:39.345687,41.902855655026,12.4964392215009
2788,259,2014-02-01 00:17:54.348077,41.9022584648424,12.4954825244292
2824,259,2014-02-01 00:18:09.311783,41.9011838948746,12.4938793219246
2860,259,2014-02-01 00:18:24.654662,41.8999840826378,12.4921049811876
2892,259,2014-02-01 00:18:39.339577,41.8987787799879,12.4901964378263
2939,259,2014-02-01 00:18:54.306410,41.8975464797807,12.4882998337385
2971,259,2014-02-01 00:19:09.315437,41.8964496098326,12.4866090334461
3010,259,2014-02-01 00:19:24.652166,41.8964514760225,12.4854315158947
3050,259,2014-02-01 00:19:39.532444,41.8972292268162,12.4848201739458
3081,259,2014-02-01 00:19:54.355014,41.8969582578467,12.4836979347169
3120,259,2014-02-01 00:20:09.357108,41.8966857676607,12.4822812527138
3161,259,2014-02-01 00:20:24.643269,41.895667044181,12.4823976873823
3201,259,2014-02-01 00:20:41.246004,41.895533066443,12.4832667055495
3219,259,2014-02-01 00:20:50.109727,41.895641394193,12.4834757968202
3236,259,2014-02-01 00:20:54.367950,41.8956519633241,12.483487250065
3272,259,2014-02-01 00:21:10.136293,41.8956519633241,12.483487250065
3308,259,2014-02-01 00:21:24.806966,41.8956519633241,12.483487250065
3345,259,2014-02-01 00:21:40.423592,41.8956519633241,12.483487250065
3380,259,2014-02-01 00:21:54.334540,41.8956519633241,12.483487250065
3413,259,2014-02-01 00:22:09.417834,41.8956519633241,12.483487250065
3460,259,2014-02-01 00:22:26.326517,41.8956519633241,12.483487250065
3487,259,2014-02-01 00:22:39.366360,41.8956519633241,12.483487250065
3525,259,2014-02-01 00:22:54.944519,41.8956561789256,12.4834900909423
3562,259,2014-02-01 00:23:09.342991,41.8958102278874,12.4835635562192
3597,259,2014-02-01 00:23:24.643910,41.8958102278874,12.4835635562192
3629,259,2014-02-01 00:23:39.642677,41.8958102278874,12.4835635562192
3664,259,2014-02-01 00:23:54.646024,41.8958102278874,12.4835635562192
3705,259,2014-02-01 00:24:09.641571,41.8958102278874,12.4835635562192
3743,259,2014-02-01 00:24:24.653997,41.8958102278874,12.4835635562192
3781,259,2014-02-01 00:24:39.413499,41.8958102278874,12.4835635562192
3812,259,2014-02-01 00:24:54.639396,41.8958102278874,12.4835635562192
3857,259,2014-02-01 00:25:09.408611,41.8958102278874,12.4835635562192
3893,259,2014-02-01 00:25:24.640060,41.8958102278874,12.4835635562192
3931,259,2014-02-01 00:25:39.934623,41.8958102803078,12.4835635495885
3965,259,2014-02-01 00:25:54.368788,41.8958102803078,12.4835635495885
4002,259,2014-02-01 00:26:09.641492,41.8958102803078,12.4835635495885
4045,259,2014-02-01 00:26:24.651883,41.8958102803078,12.4835635495885
4084,259,2014-02-01 00:26:39.456105,41.8958102803078,12.4835635495885
4121,259,2014-02-01 00:26:54.430266,41.8958102803078,12.4835635495885
4163,259,2014-02-01 00:27:09.332891,41.8958102803078,12.4835635495885
4200,259,2014-02-01 00:27:24.639930,41.8958102803078,12.4835635495885
4238,259,2014-02-01 00:27:39.644268,41.8958102803078,12.4835635495885
4276,259,2014-02-01 00:27:54.318829,41.8958102803078,12.4835635495885
4314,259,2014-02-01 00:28:09.420918,41.8958102803078,12.4835635495885
4354,259,2014-02-01 00:28:24.956625,41.8958102803078,12.4835635495885
4389,259,2014-02-01 00:28:39.664494,41.8958102803078,12.4835635495885
4425,259,2014-02-01 00:28:54.639054,41.8958102803078,12.4835635495885
