,Device,Time,Longitude,Latitude
1420118,308,2014-03-02 14:37:31.123476,41.8093898772678,12.5845011136649
1420119,308,2014-03-02 14:37:31.124128,41.8093898772678,12.5845011136649
1420168,308,2014-03-02 14:37:38.455677,41.8099504824579,12.5835933245031
1420169,308,2014-03-02 14:37:38.456395,41.8099504824579,12.5835933245031
1420191,308,2014-03-02 14:37:41.902171,41.8102850095824,12.5832827247258
1420192,308,2014-03-02 14:37:41.937223,41.8102850095824,12.5832827247258
1420241,308,2014-03-02 14:37:48.902730,41.8111297555252,12.5823109290186
1420291,308,2014-03-02 14:37:55.903004,41.8108287636973,12.5814518582486
1420356,308,2014-03-02 14:38:05.589796,41.8100799367395,12.579992778095
1420385,308,2014-03-02 14:38:09.898406,41.8095793654389,12.5789792619472
1420433,308,2014-03-02 14:38:16.918565,41.8090760794054,12.5778990839571
1420480,308,2014-03-02 14:38:23.898355,41.8085547016448,12.576362991501
1420526,308,2014-03-02 14:38:30.902164,41.8091492003917,12.5759761529532
1420577,308,2014-03-02 14:38:37.932178,41.8101137392839,12.5759878766989
1420623,308,2014-03-02 14:38:45.234515,41.811304823754,12.5756455708012
1420675,308,2014-03-02 14:38:51.908810,41.8122242355599,12.5752931767764
1420723,308,2014-03-02 14:38:59.644248,41.8132061424076,12.5747783218933
1420764,308,2014-03-02 14:39:05.926567,41.8143682734532,12.5733908518555
1420811,308,2014-03-02 14:39:12.923448,41.8149097879623,12.5722737786044
1420858,308,2014-03-02 14:39:19.901370,41.8153137692451,12.5714017459274
1420903,308,2014-03-02 14:39:26.902735,41.8148060817578,12.5706892375324
1420952,308,2014-03-02 14:39:33.900807,41.8141622678187,12.5711033366544
1420994,308,2014-03-02 14:39:40.919048,41.8134076923122,12.5716886681898
1421041,308,2014-03-02 14:39:47.904383,41.81242482193,12.5720534065992
1421089,308,2014-03-02 14:39:55.403772,41.8118438814605,12.5711859813324
1421141,308,2014-03-02 14:40:02.466041,41.811406045799,12.570232050601
1421191,308,2014-03-02 14:40:09.310596,41.8109773663932,12.5692771659663
1421238,308,2014-03-02 14:40:16.760206,41.8109773663932,12.5692771659663
1421284,308,2014-03-02 14:40:23.480442,41.8109773663932,12.5692771659663
1421330,308,2014-03-02 14:40:29.926165,41.8109773663932,12.5692771659663
1421386,308,2014-03-02 14:40:39.196685,41.8109773663932,12.5692771659663
1421423,308,2014-03-02 14:40:44.475559,41.8109773663932,12.5692771659663
1421474,308,2014-03-02 14:40:51.326082,41.8109773663932,12.5692771659663
1421523,308,2014-03-02 14:40:58.832716,41.8109773663932,12.5692771659663
1421565,308,2014-03-02 14:41:04.925717,41.804546576725,12.5574456870192
1421618,308,2014-03-02 14:41:11.926062,41.803801869624,12.556133349622
1421684,308,2014-03-02 14:41:21.781157,41.8025728145688,12.5539654900834
1421708,308,2014-03-02 14:41:25.926117,41.8017437402038,12.5523332132778
1421755,308,2014-03-02 14:41:32.903656,41.8010074124937,12.5505581298039
1421803,308,2014-03-02 14:41:39.900621,41.800133080389,12.5475866430106
1421850,308,2014-03-02 14:41:46.923602,41.7996660541055,12.5455272669877
1421894,308,2014-03-02 14:41:53.904193,41.7992221091848,12.5434268885389
1421943,308,2014-03-02 14:42:00.918504,41.798593344686,12.5403811230798
1421991,308,2014-03-02 14:42:07.918496,41.7981776200362,12.5384165386177
1422043,308,2014-03-02 14:42:16.265667,41.7977287033724,12.5364234363803
1422084,308,2014-03-02 14:42:21.901999,41.7970608424234,12.5334462371052
1422132,308,2014-03-02 14:42:28.916791,41.7965970223853,12.5314463782424
1422184,308,2014-03-02 14:42:35.900260,41.7961814668604,12.5294008563167
1422236,308,2014-03-02 14:42:43.425194,41.7955715924835,12.5264053903464
1422282,308,2014-03-02 14:42:50.424513,41.7952921623413,12.5243931078229
1422332,308,2014-03-02 14:42:56.902605,41.7951060366135,12.5223536587379
1422377,308,2014-03-02 14:43:03.900009,41.7948311494976,12.5193572473049
1422424,308,2014-03-02 14:43:11.108965,41.7946597366157,12.5173537193411
1422473,308,2014-03-02 14:43:17.901244,41.7945028065506,12.515388094982
1422520,308,2014-03-02 14:43:24.902526,41.7942550832653,12.5125068809187
1422569,308,2014-03-02 14:43:31.900898,41.7941919201265,12.5105415013373
1422617,308,2014-03-02 14:43:38.921572,41.7942776661366,12.5084228961401
1422665,308,2014-03-02 14:43:45.940387,41.7946609168216,12.505105421093
1422712,308,2014-03-02 14:43:52.902298,41.7949746438492,12.5029643911535
1422773,308,2014-03-02 14:44:01.755437,41.7952444541753,12.5008706070278
1422809,308,2014-03-02 14:44:06.903202,41.7956284270948,12.4977546722723
1422854,308,2014-03-02 14:44:13.910563,41.795873029722,12.4957047978214
1422910,308,2014-03-02 14:44:20.916821,41.7961236665886,12.4936674554726
1422977,308,2014-03-02 14:44:30.992084,41.7964656505509,12.4906711667014
1423003,308,2014-03-02 14:44:34.935476,41.7967062231151,12.488724637118
1423053,308,2014-03-02 14:44:41.917824,41.7969480874108,12.4867539491618
1423099,308,2014-03-02 14:44:48.927495,41.7973114381027,12.483800694472
1423148,308,2014-03-02 14:44:55.922282,41.7975466835309,12.4818217129011
1423202,308,2014-03-02 14:45:02.913908,41.797790451433,12.4798282363703
1423251,308,2014-03-02 14:45:09.906470,41.7981486556565,12.4768530694611
1423306,308,2014-03-02 14:45:16.918913,41.7983841375559,12.474861335521
1423353,308,2014-03-02 14:45:23.915518,41.7986278110207,12.4728960175149
1423401,308,2014-03-02 14:45:30.923257,41.7990094499484,12.4698599743215
1423448,308,2014-03-02 14:45:37.908866,41.7992539418384,12.4678748820873
1423501,308,2014-03-02 14:45:44.901990,41.7994906080554,12.4659055276913
1423548,308,2014-03-02 14:45:51.902875,41.7998565118322,12.462902020848
1423603,308,2014-03-02 14:45:59.332425,41.8000966283563,12.4609376420813
1423655,308,2014-03-02 14:46:06.940433,41.8003335690979,12.4589276345484
1423696,308,2014-03-02 14:46:12.913019,41.8006741296343,12.4558597126785
1423747,308,2014-03-02 14:46:19.936427,41.8009025904434,12.4538097219669
1423795,308,2014-03-02 14:46:26.910316,41.8011677665162,12.4517634914173
1423844,308,2014-03-02 14:46:34.486205,41.8015518401868,12.4488467872958
1423889,308,2014-03-02 14:46:40.925094,41.8018062762536,12.4468859272871
1423935,308,2014-03-02 14:46:47.899974,41.8020441378737,12.4449038698992
1423991,308,2014-03-02 14:46:54.900080,41.8024260444731,12.4419527311785
1424038,308,2014-03-02 14:47:01.961089,41.8026695545406,12.440007911314
1424088,308,2014-03-02 14:47:08.903172,41.8028854406802,12.438088512978
1424142,308,2014-03-02 14:47:15.904126,41.8032217243209,12.4351798935147
1424189,308,2014-03-02 14:47:22.903752,41.8035955952179,12.4332471111859
1424244,308,2014-03-02 14:47:30.438165,41.8041011333791,12.4314439423303
1424293,308,2014-03-02 14:47:37.351480,41.804997340576,12.428708540457
1424338,308,2014-03-02 14:47:43.922145,41.8056392212673,12.4268723394449
1424386,308,2014-03-02 14:47:50.912597,41.806261656035,12.4249254988386
1424436,308,2014-03-02 14:47:57.926572,41.8071707038232,12.4220421271502
1424497,308,2014-03-02 14:48:07.112298,41.8076224207514,12.4201092692995
1424546,308,2014-03-02 14:48:13.164453,41.8079235732173,12.4181571916005
1424588,308,2014-03-02 14:48:18.904281,41.8083083623537,12.4153364777652
1424638,308,2014-03-02 14:48:25.910460,41.8085770164892,12.4134074482212
1424689,308,2014-03-02 14:48:32.910909,41.8089025412872,12.4111811783476
1424740,308,2014-03-02 14:48:39.925643,41.8093992241615,12.4079666166165
1424802,308,2014-03-02 14:48:49.026599,41.8097929547017,12.4058740643897
1424838,308,2014-03-02 14:48:53.904723,41.8102238733063,12.4038624636517
1424888,308,2014-03-02 14:49:00.926279,41.8109550931683,12.401347970141
1424935,308,2014-03-02 14:49:07.904744,41.8114619745891,12.3997930040729
1424989,308,2014-03-02 14:49:14.904591,41.8120561498379,12.3982991314712
1425038,308,2014-03-02 14:49:21.906650,41.8131670473076,12.3963004835066
1425082,308,2014-03-02 14:49:28.902164,41.8139382393331,12.3951480904395
1425133,308,2014-03-02 14:49:35.910676,41.8147432409961,12.3941856560261
1425179,308,2014-03-02 14:49:43.584684,41.8158268598156,12.3932730432176
1425226,308,2014-03-02 14:49:49.932386,41.8166513639977,12.3932166978151
1425274,308,2014-03-02 14:49:56.941635,41.8176210997275,12.3934603393166
1425330,308,2014-03-02 14:50:03.904323,41.8188963432899,12.3934698743221
1425380,308,2014-03-02 14:50:10.905925,41.8196172210402,12.3928125160688
1425430,308,2014-03-02 14:50:18.281635,41.8200188782725,12.3917861198618
1425486,308,2014-03-02 14:50:25.261569,41.8199996374406,12.3899034595068
1425531,308,2014-03-02 14:50:31.904570,41.8196228525298,12.388752183781
1425581,308,2014-03-02 14:50:38.902049,41.8188856526113,12.3878182850936
1425629,308,2014-03-02 14:50:45.933654,41.8182665652412,12.3859403183239
1425683,308,2014-03-02 14:50:52.945388,41.8181650594776,12.3843311615235
