,Device,Time,Longitude,Latitude
293016,224,2014-03-01 00:00:04.576743,41.89477593,12.46664512
293069,224,2014-03-01 00:00:11.326243,41.89386561,12.46777656
293122,224,2014-03-01 00:00:18.304130,41.8935117,12.46822923
293188,224,2014-03-01 00:00:26.840615,41.89299714,12.46883368
293234,224,2014-03-01 00:00:32.584194,41.89249064,12.46946001
293289,224,2014-03-01 00:00:39.552432,41.89212205,12.46992476
293346,224,2014-03-01 00:00:47.015597,41.89192659,12.47013116
293402,224,2014-03-01 00:00:54.696636,41.89137415,12.47089651
293451,224,2014-03-01 00:01:00.435077,41.89094852,12.47167393
293505,224,2014-03-01 00:01:07.385469,41.89069595,12.47177903
293555,224,2014-03-01 00:01:14.385962,41.89063045,12.47165441
293615,224,2014-03-01 00:01:21.394641,41.89074837,12.47139211
293670,224,2014-03-01 00:01:29.047525,41.89081677,12.47118333
293723,224,2014-03-01 00:01:35.596358,41.89093798,12.47102027
293777,224,2014-03-01 00:01:42.985859,41.89104134,12.47092907
293825,224,2014-03-01 00:01:49.349932,41.89122753,12.47069861
293876,224,2014-03-01 00:01:56.298476,41.89133591,12.47045471
293933,224,2014-03-01 00:02:03.298657,41.8913958,12.47034663
293993,224,2014-03-01 00:02:10.334722,41.89140481,12.47030099
294042,224,2014-03-01 00:02:17.386460,41.8914624,12.47027113
294100,224,2014-03-01 00:02:25.063182,41.89150973,12.47021865
294161,224,2014-03-01 00:02:32.967365,41.89160486,12.4700776
294201,224,2014-03-01 00:02:38.565610,41.89164969,12.47012822
294258,224,2014-03-01 00:02:46.004470,41.89169208,12.47021042
294311,224,2014-03-01 00:02:52.597791,41.89165782,12.47024174
294362,224,2014-03-01 00:02:59.299818,41.89168454,12.47023765
294415,224,2014-03-01 00:03:06.535302,41.89169788,12.47023789
294468,224,2014-03-01 00:03:13.298672,41.89170294,12.4702388
294525,224,2014-03-01 00:03:20.848220,41.89147991,12.47055745
294581,224,2014-03-01 00:03:28.149558,41.89142187,12.47073744
294628,224,2014-03-01 00:03:34.600310,41.89143399,12.47075749
294688,224,2014-03-01 00:03:42.309521,41.89146579,12.47077439
294736,224,2014-03-01 00:03:48.387894,41.89147481,12.47076754
294787,224,2014-03-01 00:03:55.325744,41.8914737,12.47076503
294845,224,2014-03-01 00:04:02.658969,41.89147697,12.47076668
294895,224,2014-03-01 00:04:09.660425,41.89147873,12.47076733
294944,224,2014-03-01 00:04:16.298235,41.89147775,12.47076693
295073,224,2014-03-01 00:04:33.232578,41.89146901,12.4707846
295082,224,2014-03-01 00:04:34.639373,41.89134186,12.47094715
295106,224,2014-03-01 00:04:37.593764,41.89099924,12.47167251
295155,224,2014-03-01 00:04:44.389482,41.89065831,12.47281724
295213,224,2014-03-01 00:04:51.339493,41.89048865,12.47364403
295269,224,2014-03-01 00:04:58.935205,41.89043449,12.47376153
295320,224,2014-03-01 00:05:05.430051,41.89048658,12.4738201
295375,224,2014-03-01 00:05:12.397346,41.89049394,12.47387186
295424,224,2014-03-01 00:05:19.329948,41.89049038,12.47392794
295475,224,2014-03-01 00:05:26.606681,41.89048848,12.47393348
295529,224,2014-03-01 00:05:33.948499,41.89044036,12.47396951
295586,224,2014-03-01 00:05:41.782100,41.8904928,12.47437876
295626,224,2014-03-01 00:05:47.328915,41.89097664,12.47447117
295687,224,2014-03-01 00:05:55.046751,41.89133017,12.47453258
295733,224,2014-03-01 00:06:01.389598,41.8915933,12.47454766
295785,224,2014-03-01 00:06:08.488482,41.89160411,12.47451386
295846,224,2014-03-01 00:06:16.183047,41.89161516,12.47454343
295893,224,2014-03-01 00:06:23.320951,41.89161077,12.47455687
295945,224,2014-03-01 00:06:29.594741,41.89160976,12.47456619
295998,224,2014-03-01 00:06:37.118803,41.89160773,12.47456258
296048,224,2014-03-01 00:06:43.555025,41.89160827,12.47456252
296103,224,2014-03-01 00:06:50.641139,41.89160801,12.4745627
296155,224,2014-03-01 00:06:57.618033,41.89170279,12.47458595
296204,224,2014-03-01 00:07:04.441400,41.8923847,12.47487958
296261,224,2014-03-01 00:07:12.413400,41.89265234,12.47496019
296306,224,2014-03-01 00:07:18.387529,41.89270555,12.47500264
296357,224,2014-03-01 00:07:25.297977,41.89271443,12.47500604
296417,224,2014-03-01 00:07:32.563919,41.89272416,12.47499112
296465,224,2014-03-01 00:07:39.546322,41.89277168,12.47505692
296521,224,2014-03-01 00:07:46.736947,41.89298504,12.47516748
296572,224,2014-03-01 00:07:53.450186,41.89365847,12.4756016
296621,224,2014-03-01 00:08:00.398313,41.89444939,12.47627331
296679,224,2014-03-01 00:08:07.677113,41.89482154,12.47663692
296735,224,2014-03-01 00:08:15.361720,41.89479909,12.47704572
296777,224,2014-03-01 00:08:21.604716,41.89487846,12.47818201
296830,224,2014-03-01 00:08:28.307028,41.89489248,12.47934753
296883,224,2014-03-01 00:08:35.592851,41.89484898,12.48013093
296936,224,2014-03-01 00:08:42.587669,41.89469233,12.48043935
296990,224,2014-03-01 00:08:50.386666,41.89447736,12.48088692
297042,224,2014-03-01 00:08:57.444084,41.89415926,12.48136193
297085,224,2014-03-01 00:09:03.339606,41.89408832,12.48162387
297135,224,2014-03-01 00:09:10.389926,41.89434721,12.48193612
297187,224,2014-03-01 00:09:17.542184,41.89500319,12.48201839
297243,224,2014-03-01 00:09:25.099977,41.89559556,12.48242819
297298,224,2014-03-01 00:09:32.530192,41.89596856,12.48266972
297342,224,2014-03-01 00:09:38.535525,41.89626749,12.48251767
297389,224,2014-03-01 00:09:45.996094,41.89671198,12.48230351
297443,224,2014-03-01 00:09:52.402461,41.89749297,12.48196984
297492,224,2014-03-01 00:09:59.484530,41.89845406,12.4816074
297556,224,2014-03-01 00:10:07.201709,41.89890677,12.48135747
297610,224,2014-03-01 00:10:14.764322,41.89972786,12.48102427
297653,224,2014-03-01 00:10:20.407481,41.90002639,12.48085247
297707,224,2014-03-01 00:10:28.074959,41.90020658,12.48087861
297756,224,2014-03-01 00:10:34.593724,41.90041475,12.48071461
297805,224,2014-03-01 00:10:41.342344,41.90106543,12.48034227
297863,224,2014-03-01 00:10:49.050681,41.90154932,12.48064111
297910,224,2014-03-01 00:10:55.591123,41.90171572,12.48107208
297958,224,2014-03-01 00:11:02.400342,41.90201911,12.48193606
298009,224,2014-03-01 00:11:09.460405,41.90222595,12.48280445
298062,224,2014-03-01 00:11:16.383417,41.90241116,12.48370211
298110,224,2014-03-01 00:11:23.295086,41.90277164,12.48477856
298165,224,2014-03-01 00:11:31.130670,41.90291288,12.48532643
298211,224,2014-03-01 00:11:37.338380,41.90316699,12.48644586
298258,224,2014-03-01 00:11:44.345828,41.90329775,12.48725125
298308,224,2014-03-01 00:11:51.324484,41.90331629,12.48753228
298359,224,2014-03-01 00:11:58.298062,41.90327505,12.48757144
298413,224,2014-03-01 00:12:06.181019,41.90328653,12.48756883
298458,224,2014-03-01 00:12:12.558058,41.90328603,12.48756633
298513,224,2014-03-01 00:12:20.367157,41.90328052,12.48757072
298562,224,2014-03-01 00:12:27.301749,41.90328125,12.48757254
298608,224,2014-03-01 00:12:33.570016,41.90328333,12.48801005
298655,224,2014-03-01 00:12:40.328343,41.90301617,12.48865379
298705,224,2014-03-01 00:12:47.326138,41.90283356,12.48910542
298760,224,2014-03-01 00:12:54.554171,41.90281372,12.48911763
298819,224,2014-03-01 00:13:02.369963,41.90274737,12.48877599
298859,224,2014-03-01 00:13:08.297225,41.90266332,12.48823443
298918,224,2014-03-01 00:13:15.729977,41.90262433,12.48780438
298966,224,2014-03-01 00:13:22.323339,41.902548,12.48770656
299018,224,2014-03-01 00:13:29.333545,41.90257773,12.48754754
299069,224,2014-03-01 00:13:36.665033,41.90248379,12.48754449
299118,224,2014-03-01 00:13:43.326402,41.90249002,12.48752848
299170,224,2014-03-01 00:13:50.296210,41.90249634,12.48752256
299221,224,2014-03-01 00:13:57.322697,41.90246408,12.48745925
299270,224,2014-03-01 00:14:04.326572,41.90243304,12.48739952
299320,224,2014-03-01 00:14:11.324864,41.90243349,12.48739922
299374,224,2014-03-01 00:14:18.872843,41.90243371,12.48739781
299423,224,2014-03-01 00:14:25.325720,41.90243408,12.48739157
299482,224,2014-03-01 00:14:33.026192,41.90221069,12.48712964
299543,224,2014-03-01 00:14:41.224274,41.90238797,12.48672694
299578,224,2014-03-01 00:14:46.324115,41.90241765,12.48663065
299641,224,2014-03-01 00:14:54.473401,41.90254428,12.48615863
299683,224,2014-03-01 00:15:00.295189,41.90281818,12.48570508
299736,224,2014-03-01 00:15:07.323608,41.90307945,12.48538422
299786,224,2014-03-01 00:15:14.324902,41.90324368,12.48520349
299840,224,2014-03-01 00:15:21.384114,41.90359094,12.48478228
299892,224,2014-03-01 00:15:28.385021,41.90376535,12.48460159
