,Device,Time,Longitude,Latitude
116650,243,2014-02-01 12:31:52.197416,41.8616587,12.4431913
116651,243,2014-02-01 12:31:52.198069,41.8616587,12.4431913
116678,243,2014-02-01 12:31:59.938496,41.8616587,12.4431913
116743,243,2014-02-01 12:32:15.569969,41.8616587,12.4431913
116799,243,2014-02-01 12:32:29.981267,41.8616587,12.4431913
116854,243,2014-02-01 12:32:45.145913,41.8616587,12.4431913
116914,243,2014-02-01 12:33:00.157349,41.8616587,12.4431913
116975,243,2014-02-01 12:33:15.154055,41.8616587,12.4431913
117034,243,2014-02-01 12:33:30.167401,41.8616587,12.4431913
117102,243,2014-02-01 12:33:45.143087,41.8616587,12.4431913
117158,243,2014-02-01 12:34:00.140564,41.8616587,12.4431913
117217,243,2014-02-01 12:34:15.156903,41.8616587,12.4431913
117279,243,2014-02-01 12:34:29.947369,41.8616587,12.4431913
117342,243,2014-02-01 12:34:45.154161,41.8616587,12.4431913
117406,243,2014-02-01 12:35:00.158677,41.8616587,12.4431913
117463,243,2014-02-01 12:35:14.930281,41.8616587,12.4431913
117533,243,2014-02-01 12:35:31.509196,41.8616587,12.4431913
117583,243,2014-02-01 12:35:44.904403,41.8616587,12.4431913
117646,243,2014-02-01 12:36:00.160088,41.8616587,12.4431913
117707,243,2014-02-01 12:36:14.921461,41.8616587,12.4431913
117771,243,2014-02-01 12:36:29.942959,41.8616587,12.4431913
117833,243,2014-02-01 12:36:45.156561,41.8616587,12.4431913
117890,243,2014-02-01 12:37:00.155955,41.8616587,12.4431913
117954,243,2014-02-01 12:37:15.159790,41.8616587,12.4431913
118017,243,2014-02-01 12:37:30.150980,41.8616587,12.4431913
118082,243,2014-02-01 12:37:45.158012,41.8616587,12.4431913
118144,243,2014-02-01 12:38:00.163662,41.8616587,12.4431913
118202,243,2014-02-01 12:38:15.162034,41.8616587,12.4431913
118269,243,2014-02-01 12:38:30.165061,41.8616587,12.4431913
118327,243,2014-02-01 12:38:45.149628,41.8616587,12.4431913
118389,243,2014-02-01 12:38:59.927513,41.8616587,12.4431913
118452,243,2014-02-01 12:39:14.943863,41.8616587,12.4431913
118514,243,2014-02-01 12:39:30.166385,41.8616587,12.4431913
118573,243,2014-02-01 12:39:44.899077,41.8616587,12.4431913
118641,243,2014-02-01 12:40:00.165466,41.8616587,12.4431913
118707,243,2014-02-01 12:40:15.195515,41.8616587,12.4431913
118773,243,2014-02-01 12:40:30.178545,41.8616587,12.4431913
118841,243,2014-02-01 12:40:45.158911,41.8616587,12.4431913
118907,243,2014-02-01 12:41:00.156932,41.8616587,12.4431913
118971,243,2014-02-01 12:41:15.152448,41.8616587,12.4431913
119034,243,2014-02-01 12:41:30.000413,41.8616587,12.4431913
119094,243,2014-02-01 12:41:45.157425,41.8616587,12.4431913
119160,243,2014-02-01 12:42:00.425867,41.8616587,12.4431913
119221,243,2014-02-01 12:42:15.163635,41.8616587,12.4431913
119286,243,2014-02-01 12:42:30.166973,41.8616587,12.4431913
119359,243,2014-02-01 12:42:44.975422,41.8616587,12.4431913
119420,243,2014-02-01 12:43:00.292805,41.8616587,12.4431913
119480,243,2014-02-01 12:43:15.157687,41.8616587,12.4431913
119541,243,2014-02-01 12:43:29.906675,41.8616587,12.4431913
119608,243,2014-02-01 12:43:45.165813,41.8616587,12.4431913
119672,243,2014-02-01 12:44:00.160887,41.8616587,12.4431913
119730,243,2014-02-01 12:44:15.154658,41.8616587,12.4431913
119790,243,2014-02-01 12:44:30.165571,41.8616587,12.4431913
119852,243,2014-02-01 12:44:45.234505,41.8616587,12.4431913
119924,243,2014-02-01 12:45:00.157583,41.8616587,12.4431913
119980,243,2014-02-01 12:45:15.162969,41.8616587,12.4431913
120051,243,2014-02-01 12:45:31.957694,41.8616587,12.4431913
120116,243,2014-02-01 12:45:45.790663,41.8616587,12.4431913
120177,243,2014-02-01 12:46:00.156728,41.8616587,12.4431913
120241,243,2014-02-01 12:46:15.167289,41.8616587,12.4431913
120311,243,2014-02-01 12:46:30.167797,41.8616587,12.4431913
120380,243,2014-02-01 12:46:45.157950,41.8616587,12.4431913
120446,243,2014-02-01 12:47:00.162919,41.8616587,12.4431913
120511,243,2014-02-01 12:47:14.978463,41.8616587,12.4431913
120582,243,2014-02-01 12:47:29.920133,41.8616587,12.4431913
120649,243,2014-02-01 12:47:44.939521,41.8616587,12.4431913
120716,243,2014-02-01 12:48:00.248607,41.8616587,12.4431913
120778,243,2014-02-01 12:48:15.159619,41.8616587,12.4431913
120839,243,2014-02-01 12:48:30.176325,41.8616587,12.4431913
120901,243,2014-02-01 12:48:45.158198,41.8616587,12.4431913
120966,243,2014-02-01 12:49:00.167592,41.8616587,12.4431913
121030,243,2014-02-01 12:49:15.160117,41.8616587,12.4431913
121098,243,2014-02-01 12:49:30.155543,41.8616587,12.4431913
121164,243,2014-02-01 12:49:45.159959,41.8616587,12.4431913
121227,243,2014-02-01 12:49:59.956103,41.8616587,12.4431913
121290,243,2014-02-01 12:50:15.159152,41.8616587,12.4431913
121355,243,2014-02-01 12:50:30.160902,41.8616587,12.4431913
121415,243,2014-02-01 12:50:45.168227,41.8616587,12.4431913
121478,243,2014-02-01 12:51:00.155755,41.8616587,12.4431913
121546,243,2014-02-01 12:51:15.303026,41.8616587,12.4431913
121603,243,2014-02-01 12:51:29.926979,41.8616587,12.4431913
121669,243,2014-02-01 12:51:45.173122,41.8616587,12.4431913
121731,243,2014-02-01 12:52:00.148792,41.8616587,12.4431913
121789,243,2014-02-01 12:52:15.163056,41.8616587,12.4431913
121856,243,2014-02-01 12:52:29.937525,41.8616587,12.4431913
121913,243,2014-02-01 12:52:45.155424,41.8616587,12.4431913
121979,243,2014-02-01 12:53:00.161723,41.8616587,12.4431913
122041,243,2014-02-01 12:53:15.152367,41.8616587,12.4431913
122107,243,2014-02-01 12:53:29.953401,41.8616587,12.4431913
122171,243,2014-02-01 12:53:45.167260,41.8616587,12.4431913
122233,243,2014-02-01 12:54:00.155892,41.8616587,12.4431913
122301,243,2014-02-01 12:54:16.491847,41.8616587,12.4431913
122357,243,2014-02-01 12:54:29.926581,41.8616587,12.4431913
122415,243,2014-02-01 12:54:45.167189,41.8616587,12.4431913
122481,243,2014-02-01 12:55:01.296327,41.8616587,12.4431913
122543,243,2014-02-01 12:55:15.171419,41.8616587,12.4431913
122600,243,2014-02-01 12:55:30.162870,41.8616587,12.4431913
122667,243,2014-02-01 12:55:45.158731,41.8616587,12.4431913
122737,243,2014-02-01 12:55:59.932615,41.8616587,12.4431913
122800,243,2014-02-01 12:56:14.931427,41.8616587,12.4431913
122862,243,2014-02-01 12:56:30.429437,41.8616587,12.4431913
122924,243,2014-02-01 12:56:45.302063,41.8616587,12.4431913
122986,243,2014-02-01 12:57:00.267269,41.8616587,12.4431913
123063,243,2014-02-01 12:57:15.739680,41.8616587,12.4431913
123121,243,2014-02-01 12:57:29.906645,41.8616587,12.4431913
123191,243,2014-02-01 12:57:45.238498,41.8616587,12.4431913
123262,243,2014-02-01 12:58:01.421439,41.8616587,12.4431913
123326,243,2014-02-01 12:58:15.466310,41.8616587,12.4431913
123391,243,2014-02-01 12:58:29.941543,41.8616587,12.4431913
123459,243,2014-02-01 12:58:45.009336,41.8616587,12.4431913
123528,243,2014-02-01 12:59:00.233590,41.8612544144287,12.4433103887361
123598,243,2014-02-01 12:59:15.543614,41.8612374711588,12.4431943384926
123673,243,2014-02-01 12:59:29.934955,41.8611360774717,12.4432120782592
123745,243,2014-02-01 12:59:45.235604,41.8610419597575,12.4431717590064
123813,243,2014-02-01 13:00:00.252337,41.8611038490046,12.4432165483443
123927,243,2014-02-01 13:00:15.361795,41.8612064859768,12.4433545866593
124028,243,2014-02-01 13:00:30.249733,41.8610987759028,12.4434501446332
124098,243,2014-02-01 13:00:45.236340,41.860885183131,12.4434256151911
124159,243,2014-02-01 13:01:00.251773,41.8607895312913,12.4434562159071
124225,243,2014-02-01 13:01:15.249866,41.8607071479297,12.443381560947
124299,243,2014-02-01 13:01:29.905695,41.8606153042131,12.4433488883312
124361,243,2014-02-01 13:01:45.269765,41.8606003549449,12.4432913047086
124425,243,2014-02-01 13:02:00.234806,41.8606003549449,12.4432913047086
124487,243,2014-02-01 13:02:15.535721,41.8606003549449,12.4432913047086
124559,243,2014-02-01 13:02:30.291415,41.8606003549449,12.4432913047086
124624,243,2014-02-01 13:02:45.320503,41.8606003549449,12.4432913047086
124685,243,2014-02-01 13:03:00.459345,41.8606003549449,12.4432913047086
124754,243,2014-02-01 13:03:15.528437,41.8606003549449,12.4432913047086
126049,243,2014-02-01 13:08:18.113293,41.8609349,12.4433468
126050,243,2014-02-01 13:08:18.114055,41.8609349,12.4433468
126083,243,2014-02-01 13:08:26.499317,41.8605784822827,12.4433618426584
126171,243,2014-02-01 13:08:44.435118,41.8606662760051,12.4432909779174
126220,243,2014-02-01 13:08:56.553301,41.8606662760051,12.4432909779174
126285,243,2014-02-01 13:09:11.508801,41.8607012084574,12.4432768400774
126353,243,2014-02-01 13:09:26.669309,41.8607012084574,12.4432768400774
126412,243,2014-02-01 13:09:41.411334,41.8608323306499,12.4432685209873
126472,243,2014-02-01 13:09:56.632158,41.8621813248162,12.4434449184469
126536,243,2014-02-01 13:10:11.274976,41.8640390542102,12.4437789285079
126601,243,2014-02-01 13:10:26.605794,41.8659828735993,12.4440625215367
126660,243,2014-02-01 13:10:41.385905,41.8664585373479,12.4440898385947
126728,243,2014-02-01 13:10:56.563801,41.8664585373479,12.4440898385947
126796,243,2014-02-01 13:11:11.858892,41.8667555012407,12.4441025146176
126899,243,2014-02-01 13:11:26.566856,41.8682208548924,12.4438816309999
126976,243,2014-02-01 13:11:41.370464,41.869579867716,12.4434846455912
127036,243,2014-02-01 13:11:56.473999,41.8696896422681,12.4434574032895
127105,243,2014-02-01 13:12:11.366012,41.8696896422681,12.4434574032895
127173,243,2014-02-01 13:12:26.950848,41.8697154390583,12.4434143616683
127239,243,2014-02-01 13:12:41.963581,41.8697540530436,12.4434561173405
127298,243,2014-02-01 13:12:56.559158,41.8697724908523,12.4435118399165
127368,243,2014-02-01 13:13:11.562672,41.8705584572476,12.4432994124615
127430,243,2014-02-01 13:13:26.332079,41.8721137219831,12.4432729802458
127501,243,2014-02-01 13:13:41.293129,41.8739547209512,12.4432821439837
127563,243,2014-02-01 13:13:56.242391,41.8757514882986,12.4432570312902
127629,243,2014-02-01 13:14:11.706902,41.8761898090697,12.4432315593062
127690,243,2014-02-01 13:14:26.564506,41.8761898090697,12.4432315593062
127764,243,2014-02-01 13:14:41.587659,41.8761898090697,12.4432315593062
127828,243,2014-02-01 13:14:56.570470,41.8764309952568,12.4431232551652
127898,243,2014-02-01 13:15:11.572140,41.8766196735929,12.4430436044777
127962,243,2014-02-01 13:15:26.573002,41.8766196735929,12.4430436044777
128030,243,2014-02-01 13:15:41.566145,41.8766196735929,12.4430436044777
128098,243,2014-02-01 13:15:56.570598,41.8766196735929,12.4430436044777
128160,243,2014-02-01 13:16:11.562679,41.8766196735929,12.4430436044777
128223,243,2014-02-01 13:16:26.265731,41.8766196735929,12.4430436044777
128288,243,2014-02-01 13:16:41.284524,41.8771381561649,12.4428179947217
128349,243,2014-02-01 13:16:56.237095,41.8784027681461,12.4418773350561
128411,243,2014-02-01 13:17:11.378804,41.8794863769017,12.4410082458485
128473,243,2014-02-01 13:17:26.270651,41.8796153498218,12.4410145779779
128537,243,2014-02-01 13:17:41.677964,41.8797104713635,12.440869875851
128598,243,2014-02-01 13:17:56.562686,41.8794077846115,12.4406139130674
128663,243,2014-02-01 13:18:11.578173,41.8794077846115,12.4406139130674
128737,243,2014-02-01 13:18:28.044052,41.8794077846115,12.4406139130674
128784,243,2014-02-01 13:18:41.385794,41.8794077846115,12.4406139130674
128847,243,2014-02-01 13:18:56.566349,41.8794077846115,12.4406139130674
128907,243,2014-02-01 13:19:11.519153,41.8794077846115,12.4406139130674
128970,243,2014-02-01 13:19:26.925719,41.8794077846115,12.4406139130674
129028,243,2014-02-01 13:19:41.267183,41.8791458558064,12.4408761250267
