,Device,Time,Longitude,Latitude
375067,344,2014-03-01 04:41:47.679333,41.779105,12.3380881
375068,344,2014-03-01 04:41:47.680974,41.779105,12.3380881
375099,344,2014-03-01 04:41:53.700023,41.779105,12.3380881
375139,344,2014-03-01 04:42:01.311470,41.779105,12.3380881
375171,344,2014-03-01 04:42:07.692908,41.779105,12.3380881
375206,344,2014-03-01 04:42:14.639649,41.779105,12.3380881
375251,344,2014-03-01 04:42:22.830396,41.779105,12.3380881
375282,344,2014-03-01 04:42:28.745798,41.779105,12.3380881
375324,344,2014-03-01 04:42:37.454124,41.779105,12.3380881
375354,344,2014-03-01 04:42:42.987111,41.779105,12.3380881
375391,344,2014-03-01 04:42:49.990921,41.779105,12.3380881
375424,344,2014-03-01 04:42:56.943204,41.779105,12.3380881
375462,344,2014-03-01 04:43:03.857898,41.779105,12.3380881
375506,344,2014-03-01 04:43:12.789254,41.779105,12.3380881
375531,344,2014-03-01 04:43:17.833932,41.779105,12.3380881
375573,344,2014-03-01 04:43:25.063758,41.779105,12.3380881
375619,344,2014-03-01 04:43:34.084879,41.779105,12.3380881
375642,344,2014-03-01 04:43:38.899482,41.779105,12.3380881
375680,344,2014-03-01 04:43:45.937721,41.779105,12.3380881
375716,344,2014-03-01 04:43:53.018289,41.779105,12.3380881
375751,344,2014-03-01 04:43:59.883636,41.779105,12.3380881
375786,344,2014-03-01 04:44:06.899562,41.779105,12.3380881
375825,344,2014-03-01 04:44:13.598468,41.779105,12.3380881
375861,344,2014-03-01 04:44:20.608306,41.779105,12.3380881
375904,344,2014-03-01 04:44:27.598461,41.779105,12.3380881
375945,344,2014-03-01 04:44:35.108959,41.779105,12.3380881
375990,344,2014-03-01 04:44:43.749526,41.779105,12.3380881
376016,344,2014-03-01 04:44:48.841170,41.779105,12.3380881
376055,344,2014-03-01 04:44:55.885143,41.779105,12.3380881
376091,344,2014-03-01 04:45:02.860962,41.779105,12.3380881
376135,344,2014-03-01 04:45:10.409118,41.779105,12.3380881
376172,344,2014-03-01 04:45:16.843533,41.779105,12.3380881
376209,344,2014-03-01 04:45:23.904506,41.779105,12.3380881
376244,344,2014-03-01 04:45:30.666764,41.779105,12.3380881
376280,344,2014-03-01 04:45:37.572441,41.779105,12.3380881
376321,344,2014-03-01 04:45:45.241474,41.779105,12.3380881
376378,344,2014-03-01 04:45:54.431133,41.779105,12.3380881
376404,344,2014-03-01 04:45:59.031068,41.779105,12.3380881
376435,344,2014-03-01 04:46:05.577151,41.779105,12.3380881
376474,344,2014-03-01 04:46:12.643174,41.779105,12.3380881
376508,344,2014-03-01 04:46:19.763619,41.779105,12.3380881
376548,344,2014-03-01 04:46:26.562500,41.779105,12.3380881
376597,344,2014-03-01 04:46:35.427195,41.779105,12.3380881
376624,344,2014-03-01 04:46:40.931128,41.779105,12.3380881
376666,344,2014-03-01 04:46:48.741870,41.779105,12.3380881
376704,344,2014-03-01 04:46:56.231389,41.779105,12.3380881
376736,344,2014-03-01 04:47:01.571553,41.779105,12.3380881
376777,344,2014-03-01 04:47:09.997462,41.779105,12.3380881
376813,344,2014-03-01 04:47:15.901725,41.779105,12.3380881
376849,344,2014-03-01 04:47:22.880093,41.779105,12.3380881
376899,344,2014-03-01 04:47:32.771006,41.779105,12.3380881
376927,344,2014-03-01 04:47:36.902366,41.779105,12.3380881
376967,344,2014-03-01 04:47:44.704345,41.779105,12.3380881
377002,344,2014-03-01 04:47:51.110691,41.779105,12.3380881
377040,344,2014-03-01 04:47:57.920288,41.779105,12.3380881
377079,344,2014-03-01 04:48:04.929388,41.779105,12.3380881
377115,344,2014-03-01 04:48:11.866905,41.779105,12.3380881
377153,344,2014-03-01 04:48:18.971151,41.779105,12.3380881
377192,344,2014-03-01 04:48:25.681005,41.779105,12.3380881
377228,344,2014-03-01 04:48:32.581012,41.779105,12.3380881
377261,344,2014-03-01 04:48:39.679880,41.779105,12.3380881
377302,344,2014-03-01 04:48:46.576504,41.779105,12.3380881
377345,344,2014-03-01 04:48:53.750698,41.779105,12.3380881
377391,344,2014-03-01 04:49:03.152864,41.779105,12.3380881
377424,344,2014-03-01 04:49:08.842393,41.779105,12.3380881
377465,344,2014-03-01 04:49:15.968285,41.779105,12.3380881
377503,344,2014-03-01 04:49:22.744504,41.779105,12.3380881
377534,344,2014-03-01 04:49:28.648521,41.779105,12.3380881
377572,344,2014-03-01 04:49:35.722396,41.779105,12.3380881
377610,344,2014-03-01 04:49:42.646786,41.779105,12.3380881
377655,344,2014-03-01 04:49:49.607014,41.779105,12.3380881
